tempo_s,potencia_uW
0,0
0.01,4.66707231134515e-05
0.02,1.28596129392375e-10
0.03,0.000156190897612093
0.04,0.000102452291602497
0.05,6.63987346346494e-06
0.06,5.35778644598577e-05
0.07,0.000408834026832438
0.08,0.000105874066733063
0.09,1.40591453511938e-05
0.1,3.3478152809603e-05
0.11,0.000182248069695237
0.12,5.61337340841094e-06
0.13,6.67439840609356e-05
0.14,0.000117930298647519
0.15,2.89582061424608e-08
0.16,2.46536012655287e-05
0.17,2.94405998289502e-06
0.18,0.000125018562502276
0.19,1.71598315257365e-05
0.2,1.26473323171079e-05
0.21,9.05960558214264e-05
0.22,0.000999892629183943
0.23,0.00021212727852305
0.24,4.1189667014437e-05
0.25,0.000106208895361169
0.26,2.73880697433548e-05
0.27,0.000150584919833434
0.28,1.61570189885313e-06
0.29,5.84634909213739e-06
0.3,8.79861664047641e-05
0.31,1.50704192038023e-05
0.32,0.000302887443264665
0.33,5.97813462795007e-05
0.34,3.08950804705047e-06
0.35,0.000112144012107894
0.36,0.000353077304448105
0.37,1.64233616444217e-05
0.38,0.000112398976210573
0.39,3.14319872692056e-05
0.4,1.30793423300177e-05
0.41,0.000182481085028663
0.42,6.05522352553573e-05
0.43,0.000125465758360151
0.44,0.000196792580000975
0.45,0.000189197003042788
0.46,1.43625917864276e-08
0.47,1.22283683034444e-05
0.48,3.02578879010853e-07
0.49,0.000572559675556001
0.5,0.000887836172307988
0.51,6.04317438663539e-05
0.52,2.90296987230348e-06
0.53,0.000126315683151445
0.54,0.000871868702447417
0.55,0.000334198454202384
0.56,0.00033628792858114
0.57,9.99672782133675e-05
0.58,0.000338434803212758
0.59,1.25587121200672e-05
0.6,3.32491630193371e-09
0.61,9.15468537532796e-06
0.62,2.64503434664157e-09
0.63,5.81192499360246e-06
0.64,1.86203893822449e-05
0.65,1.50452912930357e-05
0.66,0.000172478772603569
0.67,1.42192288886447e-05
0.68,7.40441174366804e-07
0.69,0.000184023050405522
0.7,0.000751984791253579
0.71,0.00142966343892878
0.72,0.00143700074442119
0.73,0.00397464478833166
0.74,0.0054398275462165
0.75,0.00382777926606808
0.76,0.00641053731360982
0.77,0.00526393040183942
0.78,0.00357689019116575
0.79,0.00428281287401286
0.8,0.00418905083049952
0.81,0.00248134831935207
0.82,0.00097661183340406
0.83,0.000607135914381117
0.84,2.97670188852321e-05
0.85,3.69278873518983e-07
0.86,4.60686147604981e-06
0.87,0.000329688122806911
0.88,0.00106646010925858
0.89,0.000693203759731323
0.9,0.00014043785038508
0.91,0.000906896800122854
0.92,0.00109128878396766
0.93,0.00120909618937812
0.94,0.00209852894677748
0.95,0.00378037537455566
0.96,0.00374264037819564
0.97,0.00382571314651185
0.98,0.00303584690452368
0.99,0.00287224201585646
1,0.00460791447951599
1.01,0.00427135197908356
1.02,0.00507036401523762
1.03,0.00421721869840155
1.04,0.00380856242891208
1.05,0.00248695186483973
1.06,0.00363174515316202
1.07,0.00453358282310631
1.08,0.00268430661838813
1.09,0.0028071703245022
1.1,0.00145028381097429
1.11,0.000443897341427472
1.12,4.45511529257708e-05
1.13,0.000112573445385201
1.14,5.06015072010894e-06
1.15,0.000143848737125886
1.16,0.000182582602765341
1.17,0.00133193955001846
1.18,0.00138950571253912
1.19,0.0013409553582257
1.2,0.00140460757821407
1.21,0.00366670737404121
1.22,0.00213540090590035
1.23,0.000960697152847794
1.24,0.00263730550352953
1.25,0.0033064276979488
1.26,0.0042660428793621
1.27,0.00401108155738504
1.28,0.00375592542429482
1.29,0.00290020156200279
1.3,0.00341956493513838
1.31,0.00470693956689544
1.32,0.00214982565647288
1.33,0.0031925014485175
1.34,0.00145231019978138
1.35,0.000526754204568923
1.36,0.00108888418241757
1.37,0.000365660585851977
1.38,9.56361643924827e-07
1.39,6.8696309825804e-06
1.4,2.56304030437216e-05
1.41,3.45232452461399e-08
1.42,3.14100221839728e-05
1.43,4.76283481194063e-05
1.44,0.000689551010420742
1.45,0.000529323935714442
1.46,0.000603398130787955
1.47,0.000828689527710959
1.48,0.00200677131391652
1.49,0.00104063678915561
1.5,0.00204410045659595
