tempo_s,potencia_uW
0,0
0.01,4.68204946247692e-08
0.02,9.5949543156419e-05
0.03,2.39109427843423e-06
0.04,2.92561710047809e-05
0.05,6.50742380932857e-07
0.06,0.000217227446597988
0.07,0.000318479253100816
0.08,0.000238492904283271
0.09,4.70119619593382e-05
0.1,0.000255921947188302
0.11,5.74089513913517e-05
0.12,1.04223106350715e-06
0.13,8.43397551868302e-05
0.14,1.28879797864193e-05
0.15,3.19166883299266e-05
0.16,2.74986590036896e-05
0.17,4.94919205828447e-05
0.18,1.32131607163536e-05
0.19,4.97100691520606e-08
0.2,6.60948698576097e-05
0.21,6.56488232080732e-07
0.22,3.56921934790968e-05
0.23,0.000111648469570338
0.24,1.9110986416132e-05
0.25,3.55201820141848e-07
0.26,5.77652328049333e-05
0.27,0.000104843871280932
0.28,1.73362520242746e-05
0.29,5.85473763090939e-06
0.3,1.72115895890722e-05
0.31,4.97269301487175e-06
0.32,3.07257709921847e-05
0.33,1.91182248021008e-06
0.34,0.000231304731981112
0.35,0.000161535696913392
0.36,0.000257910871506414
0.37,0.000490064921092816
0.38,0.000453712918674218
0.39,0.000941019083856967
0.4,0.000858685218295105
0.41,0.00101313478314503
0.42,0.000652293893175367
0.43,0.00111102970155641
0.44,0.000143034197276801
0.45,0.000132502058164012
0.46,0.000147754530479785
0.47,0.000367942053289733
0.48,0.000103905083306189
0.49,0.000181255152252255
0.5,0.00026062427709397
0.51,0.00105518960033183
0.52,0.000366879724438025
0.53,8.33634433901061e-06
0.54,0.000289550284457785
0.55,0.000159408742642847
0.56,8.77189940909136e-05
0.57,9.91010541302225e-06
0.58,1.61584878363962e-05
0.59,5.22288402229222e-05
0.6,6.57919392413379e-05
0.61,9.67599434296067e-05
0.62,9.68811641998776e-05
0.63,1.59365348093445e-05
0.64,2.2800002191606e-05
0.65,1.12082454551256e-05
0.66,0.000403494330215499
0.67,0.000570924196327405
0.68,2.2781222475986e-05
0.69,0.000304283652871908
0.7,0.000132684177790307
0.71,0.000198308490040626
0.72,0.00101584854128593
0.73,0.00103133408990532
0.74,0.000143128507022098
0.75,0.000160972923399657
0.76,0.000995970108962366
0.77,0.00129767748532891
0.78,0.000396010307052198
0.79,0.000745500762457909
0.8,3.41975314370805e-05
0.81,0.000146971629105482
0.82,0.000703106194469851
0.83,0.000338999107864115
0.84,3.24827660095084e-06
0.85,3.77670969650832e-06
0.86,0.000614455452425405
0.87,0.000124822440724525
0.88,0.000582167766231854
0.89,0.00162222780275981
0.9,0.000731163231032434
0.91,0.000887816824475695
0.92,0.00116694437867597
0.93,0.00109913263299491
0.94,0.000108534710495464
0.95,0.000402038566082198
0.96,5.27105874418482e-05
0.97,0.000501740750712428
0.98,0.000519588800488322
0.99,1.28627837425744e-05
1,7.50958911818153e-05
1.01,5.63788118611324e-05
1.02,2.06258803019486e-06
1.03,0.000462499145796687
1.04,8.62612277830245e-05
1.05,0.000330836869891122
1.06,0.00111736374014354
1.07,0.000419931680940872
1.08,0.00122019554832026
1.09,0.00239606328793278
1.1,0.00282747753321842
1.11,0.00310524061983594
1.12,0.00409912404332737
1.13,0.001924569759004
1.14,0.00174508116114475
1.15,0.003078969364524
1.16,0.00255236165178502
1.17,0.00206723360349926
1.18,0.00171538409767527
1.19,0.00175785516033831
1.2,0.000813522266460964
1.21,0.00131373244439236
1.22,0.00116821802850492
1.23,0.000548350316848457
1.24,0.000540380787578157
1.25,0.000698620728807146
1.26,0.00072628406858143
1.27,0.000438590005528148
1.28,0.000454228074204281
1.29,0.000256577348914498
1.3,0.000153820261503126
1.31,0.000417828978406603
1.32,0.000191582502911242
1.33,0.000320493748241559
1.34,0.000268459378650099
1.35,1.34917308557495e-05
1.36,0.000124109010673636
1.37,6.73390602946444e-05
1.38,0.000323653639714051
1.39,8.58741929435513e-05
1.4,9.01078295878344e-06
1.41,0.000221784946086709
1.42,0.000506595760189967
1.43,0.000309339293396929
1.44,7.82721918037991e-05
1.45,0.000521553266242731
1.46,0.00177605121029531
1.47,0.000962172869206173
1.48,0.000841363620874402
1.49,0.000444541127544326
1.5,0.00063362232598301
1.51,0.00187000793865405
1.52,0.00257724229471238
1.53,0.00105892410651757
1.54,0.000494411889292637
1.55,0.00128883574644645
1.56,0.00128442496030952
1.57,0.00234221467502485
1.58,0.00183931855948072
1.59,0.00136099522025115
1.6,0.00118911876889962
1.61,0.00195224495162098
1.62,0.00144670398554776
1.63,0.000141336556229408
1.64,6.01038683534197e-05
1.65,2.94866192137458e-06
1.66,2.62583107862846e-05
1.67,0.000112047963695449
1.68,0.000469030001955198
1.69,0.000347917652765627
1.7,0.000280882792410865
1.71,1.36225518249059e-05
1.72,0.000665842037667472
1.73,0.000644431735232833
1.74,0.000868099058554513
1.75,0.00109784903986791
1.76,0.000491045728157306
1.77,0.000368684110227633
1.78,0.000584850321268371
1.79,0.00076641056576151
1.8,0.000692860317820832
1.81,0.00046754678999891
1.82,7.83005475937492e-05
1.83,9.86769201625121e-05
1.84,0.000235865588471257
1.85,7.72575062794782e-05
1.86,8.58314440463691e-06
1.87,3.88255272950556e-06
1.88,0.000117993841328626
1.89,4.39721777777978e-05
1.9,7.54414845093519e-05
1.91,5.56187586889475e-05
1.92,2.32359234294627e-05
1.93,0.00052401122785345
1.94,0.000459877281797595
1.95,0.000136991936741104
1.96,3.72449756544393e-05
1.97,0.000115421031150888
1.98,9.60177159443125e-06
1.99,9.32184038896095e-05
2,7.00255926761265e-05
2.01,1.46512743159479e-05
2.02,8.20811162186938e-06
2.03,8.34128086369352e-06
2.04,1.30064948496534e-05
2.05,7.34279626486074e-05
2.06,9.39235439227796e-05
2.07,1.56070040033233e-07
2.08,5.86710984154802e-05
2.09,8.86960504809968e-05
2.1,5.57893611367927e-05
2.11,1.16363696026559e-07
2.12,9.4427525902644e-08
2.13,1.9929850248748e-05
2.14,0.000113863176977757
