0.0,0.02,0.04,-0.31
0.0074,0.02,0.04,-0.31
0.0174,-0.05,0.01,-0.42
0.027424,-0.01,0.07,-0.42
0.037392,0.05,0.02,-0.38
0.047016,-0.07,0.02,-0.37
0.05742,-0.07,0.02,-0.36
0.067396,0.07,0.05,-0.42
0.077392,0.06,0.01,-0.43
0.087384,0.0,-0.04,-0.4
0.096352,-0.02,0.04,-0.39
0.107424,-0.04,0.13,-0.45
0.117388,-0.01,0.04,-0.34
0.127392,-0.07,-0.04,-0.45
0.137408,0.02,-0.12,-0.43
0.146356,-0.01,0.08,-0.31
0.157416,0.05,0.06,-0.38
0.167392,-0.07,-0.07,-0.35
0.177364,0.0,0.07,-0.48
0.187384,0.01,0.0,-0.27
0.19634,0.0,-0.07,-0.39
0.207384,0.0,-0.01,-0.33
0.217364,-0.01,0.0,-0.36
0.227392,-0.04,0.02,-0.47
0.237448,-0.03,0.06,-0.36
0.24686,-0.01,-0.14,-0.36
0.257392,0.0,-0.03,-0.44
0.267392,-0.03,0.01,-0.28
0.277416,-0.02,0.05,-0.31
0.28742,0.1,-0.08,-0.41
0.29636,-0.04,0.12,-0.36
0.30742,0.02,0.09,-0.36
0.31742,-0.03,-0.07,-0.34
0.327404,0.04,-0.06,-0.41
0.3374,-0.07,0.02,-0.33
0.346916,0.06,0.13,-0.35
0.357392,0.07,0.06,-0.31
0.367404,-0.11,-0.06,-0.52
0.377412,0.0,0.04,-0.49
0.38736,0.0,0.15,-0.24
0.396332,-0.04,0.0,-0.45
0.407396,0.03,0.02,-0.36
0.41744,0.01,-0.1,-0.4
0.4274,-0.06,0.01,-0.35
0.437388,-0.09,-0.14,-0.45
0.446748,-0.03,-0.14,-0.36
0.457388,0.05,0.24,-0.43
0.467404,0.01,-0.05,-0.26
0.4774,-0.01,0.04,-0.39
0.487428,0.02,-0.11,-0.46
0.496368,-0.05,0.02,-0.37
0.507412,-0.03,0.14,-0.29
0.517404,0.01,-0.04,-0.44
0.5274,-0.06,-0.04,-0.44
0.537424,-0.05,0.04,-0.5
0.546608,0.06,-0.02,-0.52
0.557388,-0.04,-0.01,-0.26
0.567416,-0.06,0.03,-0.4
0.5774,0.0,-0.1,-0.41
0.587408,0.04,0.11,-0.38
0.596328,0.0,-0.07,-0.32
0.607392,-0.03,0.03,-0.41
0.617416,0.01,0.06,-0.41
0.62742,-0.01,0.05,-0.39
0.637412,-0.07,-0.04,-0.42
0.646328,0.0,0.16,-0.44
0.657392,0.06,-0.05,-0.43
0.66742,-0.06,0.11,-0.42
0.67744,-0.05,-0.02,-0.47
0.687392,0.06,-0.03,-0.43
0.696356,0.02,-0.08,-0.35
0.707396,-0.1,0.09,-0.44
0.717404,0.0,-0.05,-0.35
0.727388,0.07,-0.16,-0.44
0.73736,0.0,0.09,-0.4
0.746484,-0.01,-0.11,-0.43
0.75744,-0.05,0.09,-0.22
0.767396,-0.04,-0.08,-0.52
0.777392,-0.01,-0.22,-0.31
0.787416,0.04,0.14,-0.4
0.796324,0.0,0.05,-0.41
0.8074,0.11,-0.18,-0.31
0.8174,-0.07,-0.15,-0.4
0.82742,-0.01,0.05,-0.31
0.837396,-0.01,-0.21,-0.43
0.846524,-0.03,0.0,-0.38
0.857416,0.02,0.01,-0.3
0.867436,-0.06,-0.02,-0.5
0.8774,0.01,-0.07,-0.39
0.88736,0.0,0.14,-0.4
0.896332,-0.01,0.0,-0.35
0.907412,0.09,0.01,-0.38
0.917372,0.0,-0.23,-0.32
0.927364,-0.03,0.0,-0.34
