tempo_s,potencia_uW
0,0
0.01,3.03138718706381e-05
0.02,1.14520458896001e-05
0.03,6.88020697113874e-05
0.04,8.20358898563624e-06
0.05,6.52761532604859e-05
0.06,0.000146225774018036
0.07,0.00039367702956323
0.08,0.00111422323715714
0.09,0.000386024038911391
0.1,0.000179876728089574
0.11,2.9443628161826e-05
0.12,0.000113437011058962
0.13,3.25352339783343e-06
0.14,0.000121772107504893
0.15,0.000143126707725874
0.16,0.000179282311787068
0.17,0.000173513634203741
0.18,0.000695102596350516
0.19,2.34123616189638e-05
0.2,6.51519779450358e-06
0.21,0.000167200395188182
0.22,4.04215380890197e-06
0.23,0.000212892039399427
0.24,0.000610186284452263
0.25,0.000733690017977697
0.26,0.00122010375840517
0.27,1.19768670904129e-05
0.28,0.000358121411504772
0.29,4.03598036044427e-05
0.3,1.88648239418369e-06
0.31,1.74857513801927e-05
0.32,3.09149121958203e-08
0.33,1.82457144101888e-05
0.34,0.000101638113893695
0.35,7.64119614264351e-05
0.36,0.000574308623799546
0.37,3.78299727421896e-05
0.38,0.000251192732544859
0.39,3.95259791185993e-07
0.4,8.70015007143384e-07
0.41,2.50716860613708e-05
0.42,0.000278609563652624
0.43,1.4039864855295e-05
0.44,0.000498401542364099
0.45,0.000249443905567103
0.46,0.000868919574255502
0.47,0.000716596941609968
0.48,0.00166051925123579
0.49,0.00284602979429112
0.5,0.00259151481649706
0.51,0.00045207254236995
0.52,0.000174275391655413
0.53,0.000960403050588027
0.54,0.000287851835504565
0.55,0.00157350682937783
0.56,0.00123219540894909
0.57,3.38782644182709e-05
0.58,8.64070145481736e-06
0.59,0.000182793651342678
0.6,0.000371272842105959
0.61,4.76231156432841e-06
0.62,2.79334608284774e-06
0.63,0.0011366663563005
0.64,0.00278677385599413
0.65,0.000591819421007011
0.66,0.00126067657895722
0.67,0.00222799114135333
0.68,0.00318281516133723
0.69,0.00209974354954219
0.7,0.00212831863985689
0.71,0.000618531410851764
0.72,0.00018772889487492
0.73,0.000513090524530122
0.74,0.000117928863088138
0.75,4.26390436868547e-05
0.76,7.54672385775035e-05
0.77,1.84911677331621e-07
0.78,0.000131089821293219
0.79,3.15324963673266e-05
0.8,0.000352028886466593
0.81,0.000470175015486667
0.82,0.000177483852994831
0.83,0.00022823783738022
