tempo_s,potencia_uW
0,0
0.01,5.42378953282813e-05
0.02,0.000243334034485011
0.03,0.000432120017715772
0.04,0.000431959844144597
0.05,3.37479894073313e-05
0.06,0.000284309861705925
0.07,0.000431799527433687
0.08,0.00238516019947187
0.09,0.00481919339659673
0.1,0.0044358233024527
0.11,0.00667272931203212
0.12,0.00560632890475245
0.13,0.00314437028620406
0.14,0.00510080418671467
0.15,0.00355773718176877
0.16,0.000612846500819559
0.17,2.24979633954282e-05
0.18,4.00528683613761e-05
0.19,3.3394457580713e-05
0.2,0.000308125205716219
0.21,6.93358682362088e-05
0.22,3.22097636045749e-05
0.23,0.000589769177761617
0.24,0.00271433701936839
0.25,0.00296659042526835
0.26,0.00114221074754389
0.27,0.00101310441455602
0.28,0.00145782803966387
0.29,0.00294318190740107
0.3,0.00159209069059167
0.31,0.00174978259182758
0.32,0.00128931430839974
0.33,0.000211858400206007
0.34,0.000732969099973917
0.35,0.000600435817852934
0.36,0.000991122618443441
0.37,0.000762836971474982
0.38,5.81392359484997e-05
0.39,0.000162009748830239
0.4,3.27377195648252e-07
0.41,0.00111673120695081
0.42,0.00056464637606271
0.43,0.000169175742553258
0.44,0.000116433476800011
0.45,0.000176246006297095
0.46,6.72001981465295e-05
0.47,4.91571707346907e-05
0.48,0.000167927302311145
0.49,0.00131128818820667
0.5,9.1964533085404e-05
0.51,0.000411969986154162
0.52,2.49731536394929e-05
0.53,0.00025847285095818
0.54,8.87495017744979e-06
0.55,4.03344189845823e-08
0.56,0.000841215692391217
0.57,0.00579293440433421
0.58,0.00245993732160241
0.59,0.00140466742041129
0.6,0.00221570757930147
0.61,0.00371232793494976
0.62,0.00368045149740618
0.63,0.00207611110402705
0.64,0.00138181072315133
0.65,0.00239863166300982
0.66,0.00492977219124202
0.67,2.9841167461615e-06
0.68,0.000438310825922268
0.69,0.000525025147673845
0.7,9.96945607865699e-05
0.71,0.000247074438941042
0.72,0.00333722342138177
0.73,0.0041582467065519
0.74,0.00167507066250738
0.75,0.00476849264746636
0.76,0.00713464173290798
0.77,0.0062955442840273
0.78,0.00799343527306904
0.79,0.00868400014496569
0.8,0.00933638936666753
0.81,0.0069691264668249
0.82,0.00342034123562014
0.83,0.00652820427086204
0.84,0.00734518795285677
0.85,0.00464484573820753
0.86,0.00585543601683366
0.87,0.0104190811010562
0.88,0.00966634666601227
0.89,0.00413964888269142
0.9,0.00219871365375586
0.91,0.00541859276639
0.92,0.00888054830555143
0.93,0.00224165393725917
0.94,6.39892436155669e-05
0.95,0.000209046759674835
0.96,1.79527409185269e-06
0.97,0.000368537846826004
0.98,0.000459539785229233
0.99,0.00149914446808013
1,0.0018165482583067
1.01,0.00702152960460238
1.02,0.0134080017626424
1.03,0.00635094540047157
1.04,0.00553632302619958
1.05,0.0085972021216396
1.06,0.0111209281278703
1.07,0.010494939777783
1.08,0.0103282780977382
1.09,0.0147644726561705
1.1,0.0275667696004946
1.11,0.0158375110346958
1.12,0.00889580508967306
1.13,0.00739842567258959
1.14,0.00683277514194058
1.15,0.0107976378823584
1.16,0.00731078803304035
1.17,0.0055202884001044
1.18,0.00734033638176657
1.19,0.00699326325033847
1.2,0.00356127187212676
1.21,0.0026245450168607
1.22,0.0039294850308032
1.23,0.00125415475466876
1.24,0.000210004513775491
1.25,0.000187326084271022
1.26,6.47741082773061e-06
1.27,1.13236982543381e-06
1.28,0.00110437562335557
1.29,0.0027440560232138
1.3,0.00423224293497827
1.31,0.00183380989303391
1.32,0.00203749070883481
1.33,0.00444983553356799
1.34,0.00160023925588401
1.35,0.00143302225423528
1.36,0.00265100565730124
1.37,0.00557363570321101
1.38,0.00725183732101727
1.39,0.002876117617682
1.4,0.00179861255941244
1.41,0.0026880179150988
1.42,0.00289675882440099
1.43,0.00153036815306511
1.44,0.002189826438207
1.45,0.000240975607184791
1.46,0.000127010376274092
1.47,0.000174191588486129
1.48,2.77781016375572e-05
1.49,0.000249051465023263
1.5,0.00228844235396906
1.51,0.0011200582382655
1.52,0.00195940646382592
1.53,0.00122113871760207
1.54,0.000826404494585369
1.55,0.000598297864095219
1.56,0.00203134083040971
