tempo_s,potencia_uW
0,0
0.01,3.82943145736963e-05
0.02,0.000324155443331057
0.03,0.000834749946197371
0.04,0.00149933780832028
0.05,0.00224546847804621
0.06,0.003003754653163
0.07,0.00371195501394872
0.08,0.0043181763990757
0.09,0.00478308204462938
0.1,0.00508106795748657
0.11,0.00520043951172072
0.12,0.00514268102410939
0.13,0.00492095947244139
0.14,0.00455803784647196
0.15,0.00408379313570366
0.16,0.00353253895470478
0.17,0.00294034447826064
0.18,0.00234252162692151
0.19,0.00177142375993316
0.2,0.00125466426624465
0.21,0.000813825271712458
0.22,0.000463687990135746
0.23,0.000211979568354059
0.24,5.9598749694134e-05
0.25,1.2559553459974e-06
0.26,2.64435662420868e-05
0.27,0.000120639827634507
0.28,0.000266644909154229
0.29,0.000445949769230827
0.3,0.00064004672888555
0.31,0.000831603887700269
0.32,0.00100544234927606
0.33,0.00114927421111066
0.34,0.00125417897454628
0.35,0.00131481510866646
0.36,0.00132938080117296
0.37,0.00129935252719125
0.38,0.00122904131050353
0.39,0.00112501407057304
0.4,0.000995431149637589
0.41,0.0008493511580005
0.42,0.000696051040695779
0.43,0.000544403303716597
0.44,0.000402344309342088
0.45,0.000276458186835459
0.46,0.000171690945456207
0.47,9.11995210757829e-05
0.48,3.63313559094699e-05
0.49,6.72221220765361e-06
0.5,4.9363241223339e-07
0.51,1.45270150997531e-05
0.52,4.47887702248286e-05
0.53,8.66804073227821e-05
0.54,0.000135388537938988
0.55,0.000186212385410922
0.56,0.000234850169382329
0.57,0.000277630306337949
0.58,0.000311678364872662
0.59,0.000335015771287123
0.6,0.000346591047497461
0.61,0.000346248600915355
0.62,0.000334643560776683
0.63,0.000313113724396802
0.64,0.000283521269924569
0.65,0.000248077509049872
0.66,0.000209163656015764
0.67,0.000169159492450305
0.68,0.000130290064513945
0.69,9.44983385730093e-05
0.7,6.33492542479548e-05
0.71,3.79680373560168e-05
0.72,1.90131441760763e-05
0.73,6.68195320333407e-06
0.74,7.45420937084094e-07
0.75,6.06458808271185e-07
0.76,5.37581666446801e-06
0.77,1.39587856661957e-05
0.78,2.51460382473969e-05
0.79,3.77023548979583e-05
0.8,5.04477747403189e-05
0.81,6.23267617868411e-05
0.82,7.24622059410327e-05
0.83,8.01923807219571e-05
0.84,8.50902670346306e-05
0.85,8.69658432797478e-05
0.86,8.58529704838926e-05
0.87,8.19833180352111e-05
0.88,7.57503507646883e-05
0.89,6.76667198859293e-05
0.9,5.83184744990317e-05
0.91,4.83193580253165e-05
0.92,3.82681084288053e-05
0.93,2.87111846487961e-05
0.94,2.0112741827529e-05
0.95,1.2833023849734e-05
0.96,7.11568094660986e-06
0.97,3.08389566154714e-06
0.98,7.44648529525841e-07
0.99,3.17308269399341e-12
1,6.63957635304288e-07
1.01,2.483203596248e-06
1.02,5.160057487482e-06
1.03,8.37586911547827e-06
1.04,1.18133591467653e-05
1.05,1.51765665179001e-05
1.06,1.82073770596381e-05
1.07,2.06979304841848e-05
1.08,2.2498539805213e-05
1.09,2.35210825220037e-05
1.1,2.37381168949143e-05
1.11,2.31782238064929e-05
1.12,2.19182640975693e-05
1.13,2.00733667854324e-05
1.14,1.77855238320104e-05
1.15,1.52116650750987e-05
1.16,1.25120291893316e-05
1.17,9.83954260455713e-06
1.18,7.33077964385292e-06
1.19,5.09891624590942e-06
1.2,3.22891912249153e-06
1.21,1.77504398766435e-06
1.22,7.60561108827354e-07
1.23,1.79492479450678e-07
1.24,3.87393352865077e-11
1.25,1.69299470886419e-07
1.26,6.18849145582773e-07
1.27,1.27072197516384e-06
