tempo_s,potencia_uW
0,0
0.01,5.07731377158643e-05
0.02,0.000429582722361732
0.03,0.00110564371309775
0.04,0.00198477390584888
0.05,0.00297069551207205
0.06,0.00397136431647705
0.07,0.00490437036159829
0.08,0.00570116099785594
0.09,0.00630993851759416
0.1,0.00669718486737489
0.11,0.00684785879957919
0.12,0.00676439110850957
0.13,0.00646466746875567
0.14,0.00597923347534484
0.15,0.00534798184788815
0.16,0.00461658783549013
0.17,0.00383294726655951
0.18,0.00304384501098345
0.19,0.00229204314115018
0.2,0.00161393148675842
0.21,0.00103783240437808
0.22,0.00058300012976302
0.23,0.000259306403580446
0.24,6.75609869025751e-05
0.25,3.80385564324934e-07
0.26,4.34920319529957e-05
0.27,0.000177345036825069
0.28,0.000378892420409842
0.29,0.000623412823714242
0.3,0.000886250921289985
0.31,0.00114437354056504
0.32,0.00137766101784546
0.33,0.00156987865126429
0.34,0.00170929933240976
0.35,0.00178897377957303
0.36,0.00180666772591168
0.37,0.0017645047185418
0.38,0.00166836800188342
0.39,0.00152712480924982
0.4,0.0013517411575577
0.41,0.00115435515499632
0.42,0.000947372401935908
0.43,0.000742639027526921
0.44,0.000550737148874681
0.45,0.0003804350380926
0.46,0.000238311017190928
0.47,0.000128557000435914
0.48,5.29554899587129e-05
0.49,1.10133756929319e-05
0.5,2.27591545247819e-07
0.51,1.64518427026878e-05
0.52,5.43303612152201e-05
0.53,0.000107763908201416
0.54,0.000170374805958444
0.55,0.000235941311609346
0.56,0.000298776705146378
0.57,0.000354034575015392
0.58,0.00039792844317508
0.59,0.000427860595346813
0.6,0.000442461333664671
0.61,0.000441545480264489
0.62,0.000425997549369377
0.63,0.000397600384844762
0.64,0.000358824139684617
0.65,0.000312593255769706
0.66,0.00026204867166738
0.67,0.000210320997138072
0.68,0.000160328051029323
0.69,0.000114607203209309
0.7,7.51896443825419e-05
0.71,4.35202800191488e-05
0.72,2.04236372422624e-05
0.73,6.11318561614834e-06
0.74,2.38962405204297e-07
0.75,1.96647103645966e-06
0.76,1.00785499550164e-05
0.77,2.30913015033634e-05
0.78,3.93751966345906e-05
0.79,5.72730635154155e-05
0.8,7.52077295249854e-05
0.81,9.17734999971978e-05
0.82,0.000105807296083174
0.83,0.000116437009955306
0.84,0.000123106347038053
0.85,0.000125577005021324
0.86,0.00012391040063665
0.87,0.00011843223321987
0.88,0.00010968392944244
0.89,9.83654315323065e-05
0.9,8.52738802254528e-05
0.91,7.12425321758004e-05
0.92,5.7083784442715e-05
0.93,4.35395124985439e-05
0.94,3.12411263324476e-05
0.95,2.06808771310359e-05
0.96,1.21950678244014e-05
0.97,5.95899150570177e-06
0.98,1.99269023470773e-06
0.99,1.76029642643726e-07
1,2.71146268219425e-07
1.01,1.95005619788862e-06
1.02,4.82511478954163e-06
1.03,8.48007666449703e-06
1.04,1.2499702451151e-05
1.05,1.64961669372886e-05
1.06,2.01309110374835e-05
1.07,2.31310141762864e-05
1.08,2.52996116766016e-05
1.09,2.65203133964551e-05
1.1,2.67559692339958e-05
1.11,2.60424536900528e-05
1.12,2.44783910717574e-05
1.13,2.22119072121997e-05
1.14,1.9425571118293e-05
1.15,1.63206848191864e-05
1.16,1.31020008175029e-05
1.17,9.96380668236982e-06
1.18,7.07813078261835e-06
1.19,4.58560858639993e-06
1.2,2.58932212096142e-06
1.21,1.15170190275271e-06
1.22,2.94374848972455e-07
